images_closed_eye_path,images_no_yawn_path,images_yawn_path,images_open_eye_path
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00218_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2837.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01474_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2855.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00315_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2914.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01480_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2925.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00325_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2890.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00406_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2853.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00016_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2928.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00003_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2915.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00216_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2895.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00145_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2834.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00435_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2862.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01457_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2877.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00416_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2798.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00228_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2848.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00459_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2782.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00470_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2763.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00146_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2803.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00418_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2927.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00126_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2860.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00004_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2814.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00461_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2896.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00018_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2931.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00143_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2774.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00414_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2838.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01473_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2769.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00464_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2829.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00149_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2955.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00324_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2762.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00006_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2788.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01481_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2948.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00138_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2843.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00408_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2887.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00015_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2811.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00137_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2792.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00453_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2816.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00221_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2794.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00199_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2807.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01482_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2841.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00130_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2820.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01459_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2799.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01458_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2804.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00198_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2954.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00013_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2764.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00443_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2953.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00462_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2789.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00154_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2918.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00413_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2801.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00320_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2858.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00225_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2951.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00367_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2904.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00319_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2888.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00309_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2827.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00317_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2961.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00444_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2805.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00144_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2839.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00001_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2905.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00463_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2944.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01479_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2836.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00019_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2861.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00269_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2859.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00316_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2849.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00139_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2802.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00456_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2786.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01463_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2833.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00424_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2942.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00267_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2791.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00373_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2940.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00022_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2867.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00017_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2950.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01464_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2884.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00445_0_0_0_0_1_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2930.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01466_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2783.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00217_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2770.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00279_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2826.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00468_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2842.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00148_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2780.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00318_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2828.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00268_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2825.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00156_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2874.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_01483_0_1_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2846.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00280_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2882.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00393_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2906.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00323_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2800.jpg,,
/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/closed_eye/s0001_00422_0_0_0_0_0_01.png,/Users/leilatawfik/Desktop/FALL 2025/ENGG680_ML_Project/Merged_Datasets/closed_eye_no_yawn/no_yawn/2901.jpg,,
